time,precip
2014-03-01,287.09906
2014-04-01,111.97545
2014-05-01,157.20685
2014-06-01,35.22878
2014-07-01,13.530891
2014-08-01,13.148889
2014-09-01,83.889565
2014-10-01,208.89276
2014-11-01,163.46864
2014-12-01,245.71893
2015-01-01,272.69388
2015-02-01,132.80585
2015-03-01,242.17418
2015-04-01,221.8826
2015-05-01,128.81677
2015-06-01,17.388985
2015-07-01,16.833374
2015-08-01,12.973686
2015-09-01,54.558807
2015-10-01,135.45273
2015-11-01,143.41853
2015-12-01,156.59076
2016-01-01,235.99225
2016-02-01,206.83234
2016-03-01,248.42844
2016-04-01,97.22116
2016-05-01,41.024315
2016-06-01,10.969326
2016-07-01,10.128142
2016-08-01,47.43431
2016-09-01,53.576893
2016-10-01,141.50662
2016-11-01,162.38339
2016-12-01,291.97498
2017-01-01,229.32867
2017-02-01,252.29346
2017-03-01,305.34158
2017-04-01,111.12924
2017-05-01,127.04082
2017-06-01,10.5560255
2017-07-01,8.350315
2017-08-01,28.845211
2017-09-01,27.683258
2017-10-01,135.22675
2017-11-01,171.92642
2017-12-01,212.30734
2018-01-01,228.96365
2018-02-01,237.72673
2018-03-01,217.37955
2018-04-01,143.87552
2018-05-01,78.79172
2018-06-01,17.700153
2018-07-01,9.349024
2018-08-01,44.347603
2018-09-01,77.463
2018-10-01,232.52039
2018-11-01,199.35269
2018-12-01,211.02612
2019-01-01,210.81235
2019-02-01,228.03021
2019-03-01,209.84737
2019-04-01,175.55142
2019-05-01,61.953476
2019-06-01,9.41811
2019-07-01,12.173135
2019-08-01,33.103867
2019-09-01,39.487667
2019-10-01,147.08772
2019-11-01,147.9775
2019-12-01,274.2058
2020-01-01,182.06355
2020-02-01,251.35933
2020-03-01,163.98062
2020-04-01,50.60604
2020-05-01,78.51547
2020-06-01,9.384862
2020-07-01,8.429775
2020-08-01,7.6503677
2020-09-01,30.398579
2020-10-01,73.266716
2020-11-01,131.35439
2020-12-01,278.54593
2021-01-01,234.0504
2021-02-01,243.19502
2021-03-01,237.3544
2021-04-01,174.09642
2021-05-01,36.093338
2021-06-01,10.347236
2021-07-01,6.174453
2021-08-01,6.1132298
2021-09-01,52.223915
2021-10-01,129.74362
2021-11-01,224.32574
2021-12-01,347.509
2022-01-01,173.96806
2022-02-01,365.8944
2022-03-01,310.32245
2022-04-01,33.834095
2022-05-01,16.852644
2022-06-01,50.683685
2022-07-01,4.875657
2022-08-01,46.049355
2022-09-01,33.70172
2022-10-01,93.925446
2022-11-01,73.6485
2022-12-01,241.83566
2023-01-01,143.2278
2023-02-01,245.61661
2023-03-01,299.6329
2023-04-01,184.36436
2023-05-01,43.58015
